method,batch,prefill_tokens,decode_steps,phase,original_mean,replacement_mean,relative_reduction,pairs,block_length,ci_low,ci_high
bottleneck-silu-d1-s1103-n12000,1,512,32,decode_gpu_ms,1312.1267333984374,1314.6689005533854,-0.0019374402565244253,30,5,-0.010778888875301096,0.005403430134235504
bottleneck-silu-d1-s1103-n12000,8,128,32,prefill_seconds,0.07490807964156071,0.07441078337530295,0.006638753371296491,30,5,-0.012575037143413015,0.026405156436785537
bottleneck-silu-d1-s1103-n12000,8,128,32,decode_seconds,1.3603319885830085,1.35471068272988,0.004132304393564934,30,5,-0.001276588179077942,0.00991725519551001
bottleneck-silu-d1-s1103-n12000,8,128,32,end_to_end_seconds,1.4352411160866418,1.4291225718955198,0.004263077557173811,30,5,-0.001436655230095063,0.010266649476866174
bottleneck-silu-d1-s1103-n12000,8,128,32,prefill_gpu_ms,72.64246393839518,72.37306060791016,0.0037086204938406864,30,5,-0.01574848530328099,0.024080353352514905
bottleneck-silu-d1-s1103-n12000,8,128,32,decode_gpu_ms,1358.5157877604167,1352.677608235677,0.004297469030053902,30,5,-0.0009974570323891818,0.010087929645502203
bottleneck-silu-d1-s1103-n12000,8,512,32,prefill_seconds,0.15259628718098003,0.1499714436630408,0.017201227935684682,30,5,-0.010011134858902926,0.044485055726034006
bottleneck-silu-d1-s1103-n12000,8,512,32,decode_seconds,1.3131681941449642,1.3218294293930133,-0.006595678517547832,30,5,-0.016486706162926808,0.003821904727863479
bottleneck-silu-d1-s1103-n12000,8,512,32,end_to_end_seconds,1.4657660864914457,1.4718024404719472,-0.004118224617237987,30,5,-0.013304170306635,0.005846896897313547
bottleneck-silu-d1-s1103-n12000,8,512,32,prefill_gpu_ms,150.54138743082683,147.68152414957683,0.01899718961049235,30,5,-0.008621652853254558,0.04651566955005926
bottleneck-silu-d1-s1103-n12000,8,512,32,decode_gpu_ms,1310.96552734375,1319.629484049479,-0.006608836407227203,30,5,-0.0165601905473991,0.003883705407137561
shortcut-eml-d1-s1103-n12000,1,128,32,prefill_seconds,0.03990682282795509,0.039648923402031265,0.006462539677379753,30,5,-0.03676456495468661,0.05821232084341288
shortcut-eml-d1-s1103-n12000,1,128,32,decode_seconds,1.1572255549331505,1.1642655055349072,-0.006083473158491781,30,5,-0.009029894814226225,-0.0017514206289599432
shortcut-eml-d1-s1103-n12000,1,128,32,end_to_end_seconds,1.1971333123743535,1.2039152498667438,-0.005665148085253202,30,5,-0.00974210398277875,0.0003035635022113801
shortcut-eml-d1-s1103-n12000,1,128,32,prefill_gpu_ms,39.859921010335285,39.60107205708822,0.0064939655344512515,30,5,-0.036691866175932786,0.0581982285534377
shortcut-eml-d1-s1103-n12000,1,128,32,decode_gpu_ms,1157.197001139323,1164.2385986328125,-0.00608504644114749,30,5,-0.009029428358069636,-0.0017510569679979326
shortcut-eml-d1-s1103-n12000,1,512,32,prefill_seconds,0.0404416740561525,0.04073530280341705,-0.007260548780865239,30,5,-0.03262186040726256,0.014539420916842904
shortcut-eml-d1-s1103-n12000,1,512,32,decode_seconds,1.2075702062497535,1.1991199892635147,0.006997702446205567,30,5,-0.00010189765580284002,0.013047723662071409
shortcut-eml-d1-s1103-n12000,1,512,32,end_to_end_seconds,1.2480127506578962,1.2398561461518207,0.006535674015971105,30,5,-0.0009305616871089217,0.013040054475332291
shortcut-eml-d1-s1103-n12000,1,512,32,prefill_gpu_ms,40.39549471537272,40.6885737101237,-0.0072552396453122725,30,5,-0.03264232148339863,0.014575034415343024
shortcut-eml-d1-s1103-n12000,1,512,32,decode_gpu_ms,1207.5453002929687,1199.0943115234375,0.0069984859097881325,30,5,-0.0001017388615178244,0.013048378378592185
shortcut-eml-d1-s1103-n12000,8,128,32,prefill_seconds,0.04116807399938504,0.04213422580311696,-0.023468472286227282,30,5,-0.04627791425489503,-0.0038539531573884567
shortcut-eml-d1-s1103-n12000,8,128,32,decode_seconds,1.1803343793377281,1.1865499371041854,-0.005265929617287668,30,5,-0.017569979171988524,0.005419619350907401
shortcut-eml-d1-s1103-n12000,8,128,32,end_to_end_seconds,1.221503468354543,1.2286850122114021,-0.005879266038051778,30,5,-0.018157901614055266,0.004601072195730027
shortcut-eml-d1-s1103-n12000,8,128,32,prefill_gpu_ms,41.11951573689779,42.08570251464844,-0.023497036879830402,30,5,-0.04630227851316793,-0.0038665009429372788
shortcut-eml-d1-s1103-n12000,8,128,32,decode_gpu_ms,1180.3048746744792,1186.5206990559896,-0.0052662871389264065,30,5,-0.01757142800282138,0.005418533664065306
